"filename", "language", "Rust", "HLSL", "comment", "blank", "total"
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\framework\mod.rs", "Rust", 44, 0, 0, 17, 61
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\framework\settings.rs", "Rust", 20, 0, 0, 3, 23
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\glfwvulkan_backend\buffers.rs", "Rust", 61, 0, 0, 12, 73
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\glfwvulkan_backend\context.rs", "Rust", 83, 0, 0, 18, 101
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\glfwvulkan_backend\device.rs", "Rust", 72, 0, 0, 19, 91
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\glfwvulkan_backend\helpers.rs", "Rust", 56, 0, 0, 5, 61
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\glfwvulkan_backend\mod.rs", "Rust", 8, 0, 0, 0, 8
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\glfwvulkan_backend\renderer.rs", "Rust", 524, 0, 9, 107, 640
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\glfwvulkan_backend\settings.rs", "Rust", 29, 0, 3, 4, 36
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\glfwvulkan_backend\swapchain.rs", "Rust", 183, 0, 0, 24, 207
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\glfwvulkan_backend\types.rs", "Rust", 100, 0, 1, 14, 115
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\glfwvulkan_backend\window.rs", "Rust", 101, 0, 0, 18, 119
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\interfaces\mod.rs", "Rust", 9, 0, 1, 6, 16
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\lib.rs", "Rust", 5, 0, 2, 2, 9
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\shaders\ComputeShader.hlsl", "HLSL", 0, 11, 5, 5, 21
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\shaders\GlobalHeader.hlsli", "HLSL", 0, 13, 2, 2, 17
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\shaders\PixelShader.hlsl", "HLSL", 0, 10, 4, 3, 17
"c:\Users\rasmu\Desktop\AurenFox-Framework\src\shaders\VertexShader.hlsl", "HLSL", 0, 17, 3, 7, 27
"Total", "-", 1295, 51, 30, 266, 1642
